path_name,path_length,children,distances,parent
1,816.3051539625754,"[2, 3, 4, 5, 6, 9, 10, 11, 12, 20, 21, 22, 23, 24, 25, 27, 29, 31, 36, 39, 42, 43, 56]","[746.5955905050657, 736.8276159965206, 727.5548428608797, 716.1980877986442, 672.6067139447134, 664.6632666381619, 624.1694461322331, 539.5866098660002, 526.234236356696, 456.20187559215725, 339.1557326529223, 311.4283760580704, 237.68610175269083, 202.63034267909728, 174.03112012777407, 121.23219098713015, 116.14889057701623, 65.41717129551034, 40.47678094801664, 14.799606156645297, 3.1983415069516288, 0.0, 0.0]",
2,56.62254943438558,[],[],Path 1 [undefined]
3,12.373802950703947,[],[],Path 1 [undefined]
4,6.695941566317984,[],[],Path 1 [undefined]
5,10.314033125620599,[],[],Path 1 [undefined]
6,65.85925028168884,"[7, 8]","[43.439366104787865, 32.7706067318281]",Path 1 [undefined]
7,12.196676964808034,[],[],Path 6 [undefined]
8,5.148609249979226,[],[],Path 6 [undefined]
9,13.822073108277344,[],[],Path 1 [undefined]
10,4.50791199768926,[],[],Path 1 [undefined]
11,54.15829771462371,[],[],Path 1 [undefined]
12,154.82431419375536,"[13, 14, 15, 16]","[98.97840894825087, 90.30196793055691, 83.08516842314225, 56.90351909279039]",Path 1 [undefined]
13,13.20423352915121,[],[],Path 12 [undefined]
14,16.8132170738797,[],[],Path 12 [undefined]
15,9.297636541514851,[],[],Path 12 [undefined]
16,75.8453866190803,"[17, 18, 19]","[59.70107969860987, 34.825432231059864, 25.64957798984357]",Path 12 [undefined]
17,10.580947682271022,[],[],Path 16 [undefined]
18,9.276123280797153,[],[],Path 16 [undefined]
19,6.86922136041904,[],[],Path 16 [undefined]
20,8.669821869541819,[],[],Path 1 [undefined]
21,18.99138144645652,[],[],Path 1 [undefined]
22,136.60844175149236,[],[],Path 1 [undefined]
23,6.129767077716401,[],[],Path 1 [undefined]
24,13.913911261275453,[],[],Path 1 [undefined]
25,40.1393598247538,[26],[6.993159332518705],Path 1 [undefined]
26,24.491283972473973,[],[],Path 25 [undefined]
27,79.0955994562872,[28],[15.203996129033353],Path 1 [undefined]
28,10.355734935047913,[],[],Path 27 [undefined]
29,93.44407991506407,[30],[7.119722896978695],Path 1 [undefined]
30,26.163598787618536,[],[],Path 29 [undefined]
31,288.5000655143314,"[32, 33, 35]","[183.46085005172048, 165.92475898370472, 150.53906513359814]",Path 1 [undefined]
32,8.85709296922105,[],[],Path 31 [undefined]
33,109.02400179244341,[34],[32.38920576732583],Path 31 [undefined]
34,56.958051641683646,[],[],Path 33 [undefined]
35,16.659686428213238,[],[],Path 31 [undefined]
36,33.577888348106725,"[37, 38]","[25.161414035298087, 17.590694558304506]",Path 1 [undefined]
37,8.278946708129139,[],[],Path 36 [undefined]
38,9.63164340848485,[],[],Path 36 [undefined]
39,71.14457321048585,"[40, 41]","[57.82532685568585, 11.48102790603356]",Path 1 [undefined]
40,6.212203166386603,[],[],Path 39 [undefined]
41,19.02808068404342,[],[],Path 39 [undefined]
42,39.44272441688445,[],[],Path 1 [undefined]
43,336.37972713067313,"[44, 45, 46, 47, 48, 51, 53, 55]","[289.12541848580577, 255.43800988482744, 202.70105115946626, 97.35342429653386, 72.03253944646043, 64.56450653480742, 43.99928244953172, 18.336476297875752]",Path 1 [undefined]
44,37.74014706506373,[],[],Path 43 [undefined]
45,34.79401840134805,[],[],Path 43 [undefined]
46,10.238207693558893,[],[],Path 43 [undefined]
47,35.62808449370511,[],[],Path 43 [undefined]
48,219.2885258726456,"[49, 50]","[160.26683620899172, 129.7696388879285]",Path 43 [undefined]
49,7.391216322131082,[],[],Path 48 [undefined]
50,4.333410858255361,[],[],Path 48 [undefined]
51,32.60311170618644,[52],[20.70873690592882],Path 43 [undefined]
52,7.883170999478999,[],[],Path 51 [undefined]
53,187.08554402552326,[54],[47.51838702537962],Path 43 [undefined]
54,23.542378228255682,[],[],Path 53 [undefined]
55,73.65832962253721,[],[],Path 43 [undefined]
56,233.9224396964432,"[57, 58, 59, 61, 64, 65]","[180.33366390186046, 174.21352607482456, 171.00990591247646, 52.979516039592696, 48.602577372218725, 6.343729242725849]",Path 1 [undefined]
57,8.147533916698555,[],[],Path 56 [undefined]
58,6.469979614705027,[],[],Path 56 [undefined]
59,54.50010777117514,[60],[10.127587707099705],Path 56 [undefined]
60,37.574368859128064,[],[],Path 59 [undefined]
61,34.52684063968943,"[62, 63]","[16.423150997078643, 6.295646717765417]",Path 56 [undefined]
62,5.464408598402539,[],[],Path 61 [undefined]
63,5.862881105836764,[],[],Path 61 [undefined]
64,12.353493722662554,[],[],Path 56 [undefined]
65,91.81870356754717,[66],[38.90021879427643],Path 56 [undefined]
66,29.257682444642022,[],[],Path 65 [undefined]
