path_name,path_length,children,distances,parent
1,0.0,"[2, 20, 22, 25, 26, 46]","[0, 35.42220115220982, 1.115313857172038, 24.824873756599963, 0.0, 12.717330183427165]",
2,499.86325716028523,"[3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16]","[494.3446062991613, 405.38611205845524, 338.5091010291072, 310.15718058660127, 297.1112645185577, 256.3681352673563, 181.17582532308995, 147.11267270184385, 128.06508433108758, 126.90187153886083, 73.8285951908578]",Path 1 [Single Point] [soma]
3,7.471448098781353,[],[],Path 2
4,125.49098175028129,[],[],Path 2
5,30.551321347864224,[],[],Path 2
6,49.42413911658737,[],[],Path 2
7,17.493819490764125,[],[],Path 2
8,28.9112227322124,[],[],Path 2
9,110.99557130951608,"[10, 11, 12]","[101.79872382053745, 50.63223617277131, 49.370134750539336]",Path 2
10,5.6926105602673,[],[],Path 9
11,15.939919096059574,[],[],Path 9
12,14.550659368746269,[],[],Path 9
13,32.17792749813105,[],[],Path 2
14,14.219359488042066,[],[],Path 2
15,12.839337411256462,[],[],Path 2
16,84.23224374419709,"[17, 18]","[45.944100174007986, 29.407756348028297]",Path 2
17,23.907757873915827,[],[],Path 16
18,34.383137501249266,[19],[22.899336567700296],Path 16
19,5.465323436628896,[],[],Path 18
20,64.34502877335979,[21],[16.9564216241102],Path 1 [Single Point] [soma]
21,9.396005633808338,[],[],Path 20
22,54.83180540853158,"[23, 24]","[40.02464206032667, 38.818202256606696]",Path 1 [Single Point] [soma]
23,7.588457254204872,[],[],Path 22
24,9.786620452866083,[],[],Path 22
25,22.047250519517874,[],[],Path 1 [Single Point] [soma]
26,691.2574256406792,"[27, 28, 29, 30, 31, 32, 35, 36, 37, 44, 45]","[553.0773240229254, 507.48267838658893, 422.125378293422, 352.89024826158277, 333.9032480573742, 299.2729672478174, 155.22880411912288, 108.3347474840497, 53.54800154199289, 44.566211680576636, 43.4696260706036]",Path 1 [Single Point] [soma]
27,8.266771638431758,[],[],Path 26
28,6.3461492777505955,[],[],Path 26
29,24.637145905098816,[],[],Path 26
30,20.13281447567545,[],[],Path 26
31,102.07379038372883,[],[],Path 26
32,40.91133314739125,"[33, 34]","[9.446699982544523, 7.192952086700571]",Path 26
33,7.735714025174566,[],[],Path 32
34,24.426288376902182,[],[],Path 32
35,35.20282516297645,[],[],Path 26
36,28.088956480954277,[],[],Path 26
37,276.155881043168,"[38, 39, 40, 41, 42, 43]","[250.86805943701003, 232.66100908712582, 186.13998091612123, 110.28256871881878, 39.21731396596928, 27.825655041437596]",Path 26
38,11.678744531892415,[],[],Path 37
39,11.575721361787082,[],[],Path 37
40,26.0278698982266,[],[],Path 37
41,13.208413853447802,[],[],Path 37
42,55.2847055318509,[],[],Path 37
43,10.719352282415972,[],[],Path 37
44,44.59364937096064,[],[],Path 26
45,19.892389180674854,[],[],Path 26
46,38.759458589086464,[],[],Path 1 [Single Point] [soma]
